outfit,category,file,canvas_w,canvas_h,canvas_aspect,bbox_w,bbox_h,bbox_aspect,fill_w,fill_h,fill_area,pad_left,pad_right,pad_top,pad_bottom,bbox_cx,bbox_cy
outfit_1,belt,belt.png,1200,820,1.4634146341463414,1024,705,1.4524822695035462,0.8533333333333334,0.8597560975609756,0.7336585365853658,0.07333333333333333,0.07333333333333333,0.07073170731707316,0.06951219512195123,0.5,0.500609756097561
outfit_1,pants,pants.png,720,1200,0.6,678,1120,0.6053571428571428,0.9416666666666667,0.9333333333333333,0.8788888888888889,0.029166666666666667,0.029166666666666667,0.03333333333333333,0.03333333333333333,0.5,0.5
outfit_1,shirt,shirt.png,900,1080,0.8333333333333334,855,1015,0.8423645320197044,0.95,0.9398148148148148,0.892824074074074,0.025555555555555557,0.024444444444444446,0.010185185185185186,0.05,0.5005555555555555,0.48009259259259257
outfit_1,shoes,shoes.png,1100,480,2.2916666666666665,1044,410,2.546341463414634,0.9490909090909091,0.8541666666666666,0.8106818181818182,0.026363636363636363,0.024545454545454544,0.14583333333333334,0.0,0.5009090909090909,0.5729166666666666
outfit_2,belt,belt.png,1200,820,1.4634146341463414,1032,631,1.635499207606973,0.86,0.7695121951219512,0.6617804878048781,0.07,0.07,0.11585365853658537,0.11463414634146342,0.5,0.500609756097561
outfit_2,pants,pants.png,720,1200,0.6,556,1130,0.4920353982300885,0.7722222222222223,0.9416666666666667,0.727175925925926,0.11388888888888889,0.11388888888888889,0.029166666666666667,0.029166666666666667,0.5,0.5
outfit_2,shirt,shirt.png,900,1080,0.8333333333333334,786,1026,0.7660818713450293,0.8733333333333333,0.95,0.8296666666666667,0.06333333333333334,0.06333333333333334,0.004629629629629629,0.04537037037037037,0.5,0.47962962962962963
outfit_2,shoes,shoes.png,1100,480,2.2916666666666665,1045,421,2.482185273159145,0.95,0.8770833333333333,0.8332291666666667,0.025454545454545455,0.024545454545454544,0.12291666666666666,0.0,0.5004545454545455,0.5614583333333333
outfit_3,belt,belt.png,1200,820,1.4634146341463414,893,704,1.2684659090909092,0.7441666666666666,0.8585365853658536,0.6388943089430894,0.12833333333333333,0.1275,0.07073170731707316,0.07073170731707316,0.5004166666666666,0.5
outfit_3,pants,pants.png,720,1200,0.6,618,1130,0.5469026548672566,0.8583333333333333,0.9416666666666667,0.8082638888888889,0.07083333333333333,0.07083333333333333,0.029166666666666667,0.029166666666666667,0.5,0.5
outfit_3,shirt,shirt.png,900,1080,0.8333333333333334,855,902,0.9478935698447893,0.95,0.8351851851851851,0.793425925925926,0.025555555555555557,0.024444444444444446,0.062037037037037036,0.10277777777777777,0.5005555555555555,0.47962962962962963
outfit_3,shoes,shoes.png,1100,480,2.2916666666666665,1015,430,2.36046511627907,0.9227272727272727,0.8958333333333334,0.8266098484848485,0.03909090909090909,0.038181818181818185,0.10416666666666667,0.0,0.5004545454545455,0.5520833333333334
